City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,scarborough,54.2797,-0.4044,9.76,83,100,4.92,GB,1675370082
333,uige,-7.6087,15.0613,19.73,92,100,1.29,AO,1675370083
334,maceio,-9.6658,-35.7353,28.69,69,40,6.69,BR,1675369982
335,panjakent,39.4952,67.6093,2.07,66,8,3.72,TJ,1675370083
336,lewistown,40.5992,-77.5714,4.89,66,0,5.14,US,1675370083
337,changji,44.0167,87.3167,-14.56,85,85,1.0,CN,1675370084
338,catuday,16.2923,119.8062,24.7,74,3,4.37,PH,1675370084
339,plouzane,48.3833,-4.6167,9.1,87,100,2.57,FR,1675370085
340,dobson,36.3957,-80.7226,8.03,96,100,0.0,US,1675370085
341,miramar,25.9873,-80.2323,29.44,65,20,6.17,US,1675369990
342,alice springs,-23.7,133.8833,14.75,82,0,2.06,AU,1675370085
343,san patricio,28.017,-97.5169,7.92,69,94,6.4,US,1675370086
344,maslovka,51.5535,39.2357,-1.71,90,100,2.75,RU,1675370086
345,wattegama,6.7989,81.4808,22.24,96,82,1.99,LK,1675370086
346,mount gambier,-37.8333,140.7667,9.89,84,100,5.39,AU,1675370087
347,oromocto,45.8351,-66.4792,-2.92,46,75,5.14,CA,1675369829
348,ugoofaaru,5.6667,73.0,26.5,75,100,4.18,MV,1675370087
349,staraya russa,57.9944,31.3608,-4.46,98,100,1.11,RU,1675370088
350,torbay,47.6666,-52.7314,-7.46,72,40,3.09,CA,1675370088
351,novyy urengoy,66.0833,76.6333,-14.22,94,17,4.5,RU,1675370088
352,almaznyy,48.0448,40.045,0.09,83,99,2.5,RU,1675370089
353,makarov,48.6333,142.8,-21.28,91,85,2.84,RU,1675370089
354,duvan,55.695,57.9024,-13.66,94,88,0.97,RU,1675370090
355,port hedland,-20.3167,118.5667,29.81,65,87,4.43,AU,1675370090
356,emerald,-23.5333,148.1667,26.3,58,100,4.48,AU,1675370091
357,praia da vitoria,38.7333,-27.0667,15.42,88,20,7.66,PT,1675369939
358,pacific grove,36.6177,-121.9166,16.34,56,0,3.13,US,1675370091
359,te anau,-45.4167,167.7167,19.48,90,64,1.91,NZ,1675370056
360,mounana,-1.4085,13.1586,23.82,75,74,1.16,GA,1675370091
361,half moon bay,37.4636,-122.4286,16.41,57,0,2.57,US,1675369962
362,outjo,-20.1167,16.15,19.82,82,100,4.06,NA,1675370092
363,tommot,58.9564,126.2925,-15.69,93,100,3.14,RU,1675370092
364,baykit,61.67,96.37,-22.13,100,92,1.23,RU,1675370092
365,farafangana,-22.8167,47.8333,23.45,87,67,3.15,MG,1675370093
